9/16/18 - Name,VDR,email,Phone,Number of Registered Voters,Number of Applications Received,Not Valid to Register,Kick Outs,,Voter Turnout,Date
,1.1,,,6,10,4,,,,9/16/18
,2.1,,,13,18,5,,,,9/16/18
,3.1,,,4,8,4,,,,9/16/18
,4.1,,,3,5,2,,,,9/16/18
,5.1,,,5,10,5,,,,9/16/18
,6.1,,,12,15,3,,,,9/16/18
,7.1,,,5,11,6,,,,9/16/18
,8.1,,,11,20,9,,,,9/16/18
,9.1,,,4,8,4,,,,9/16/18
,10.1,,,4,4,0,,,,9/16/18
,11.1,,,5,7,2,,,,9/16/18
,12.1,,,8,10,2,,,,9/16/18
,13.1,,,5,5,0,,,,9/16/18
,14.1,,,12,16,4,,,,9/16/18
,15.1,,,10,21,11,,,,9/16/18
,16.1,,,6,11,5,,,,9/16/18
,17.1,,,3,7,4,,,,9/16/18
,18.1,,,2,6,4,,,,9/16/18
,19.1,,,14,19,5,,,,9/16/18
,20.1,,,6,8,2,,,,9/16/18
,21.1,,,,,0,,,,9/16/18
,22.1,,,2,2,0,,,,9/16/18
,23.1,,,19,22,3,,,,9/16/18
,24.1,,,1,1,0,,,,9/16/18
,25.1,,,8,10,2,,,,9/16/18
,26.1,,,12,24,12,,,,9/16/18
,27.1,,,2,5,3,,,,9/16/18
,28.1,,,,,0,,,,9/16/18
,29.1,,,1,4,3,,,,9/16/18
,30.1,,,3,3,0,,,,9/16/18
,31.1,,,3,3,0,,,,9/16/18
,,,,,,,,,,
,,,,,,,,,,
,1.2,,,2,2,0,,,,9/22/18
,2.2,,,4,4,0,,,,9/22/18
,3.2,,,11,15,4,,,,9/22/18
,4.2,,,1,1,0,,,,9/22/18
,5.2,,,,,0,,,,9/22/18
,6.2,,,6,9,3,,,,9/22/18
,7.2,,,1,2,1,,,,9/22/18
,8.2,,,2,3,1,,,,9/22/18
,9.2,,,,,0,,,,9/22/18
,10.2,,,6,12,6,,,,9/22/18
,11.2,,,,1,1,,,,9/22/18
,12.2,,,2,5,3,,,,9/22/18
,13.2,,,6,9,3,,,,9/22/18
,14.2,,,16,23,7,,,,9/22/18
,15.2,,,2,4,2,,,,9/22/18
,16.2,,,10,15,5,,,,9/22/18
,17.2,,,6,10,4,,,,9/22/18
,18.2,,,1,2,1,,,,9/22/18
,19.2,,,,,0,,,,9/22/18
,20.2,,,1,1,0,,,,9/22/18
,21.2,,,,,0,,,,9/22/18
,22.2,,,3,7,4,,,,9/22/18
,23.2,,,7,15,8,,,,9/22/18
,24.2,,,9,9,0,,,,9/22/18
,,,,,,,,,,
,,,,,,,,,,
,1.3,,,14,17,3,,,,9/30/18
,2.3,,,8,10,2,,,,9/30/18
,3.3,,,5,7,2,,,,9/30/18
,4.3,,,,,0,,,,9/30/18
,5.3,,,9,9,0,,,,9/30/18
,6.3,,,11,15,4,,,,9/30/18
,7.3,,,23,27,4,,,,9/30/18
,8.3,,,,,0,,,,9/30/18
,9.3,,,,3,3,,,,9/30/18
,10.3,,,6,10,4,,,,9/30/18
,11.3,,,10,11,1,,,,9/30/18
,12.3,,,,,0,,,,9/30/18
,13.3,,,10,12,2,,,,9/30/18
,14.3,,,18,26,8,,,,9/30/18
,15.3,,,9,16,7,,,,9/30/18
,16.3,,,9,14,5,,,,9/30/18
,17.3,,,4,6,2,,,,9/30/18
,18.3,,,10,15,5,,,,9/30/18
,19.3,,,15,19,4,,,,9/30/18
,20.3,,,2,7,5,,,,9/30/18
,21.3,,,15,20,5,,,,9/30/18
,22.3,,,8,11,3,,,,9/30/18
,23.3,,,,,0,,,,9/30/18
,24.3,,,,,0,,,,9/30/18
,25.3,,,60,69,9,,,,9/30/18
,26.3,,,118,141,23,,,,9/30/18
,27.3,,,,,0,,,,9/30/18
,28.3,,,5,6,1,,,,9/30/18
,29.3,,,4,7,3,,,,9/30/18
,30.3,,,,11,11,,,,9/30/18
,31.3,,,5,6,1,,,,9/30/18
,32.3,,,3,4,1,,,,9/30/18
,33.3,,,11,12,1,,,,9/30/18
,34.3,,,4,7,3,,,,9/30/18
,35.3,,,11,11,0,,,,9/30/18
,36.3,,,4,5,1,,,,9/30/18
,37.3,,,1,3,2,,,,9/30/18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,